"","species","scientificName","numberOfOccurrences","class","order","family","speciesKey","iucnRedListCategory"
"1776","Elachistocleis bicolor","Elachistocleis bicolor (Guérin-Méneville, 1838)",559,"Amphibia","Anura","Microhylidae",2421949,"LC"
"1777","Dasypops schirchi","Dasypops schirchi Miranda-Ribeiro, 1924",61,"Amphibia","Anura","Microhylidae",2422064,"LC"
"1778","Ramphastos tucanus","Ramphastos tucanus Linnaeus, 1758",1,"Aves","Piciformes","Ramphastidae",2478774,"LC"
"1779","Ololygon berthae","Ololygon berthae (Barrio, 1962)",40,"Amphibia","Anura","Hylidae",10794052,"LC"
"1780","Siphlophis longicaudatus","Siphlophis longicaudatus (Andersson, 1901)",11,"Squamata",NA,"Colubridae",5959406,"LC"
"1781","Oxyrhopus petolarius","Oxyrhopus petolarius (Linnaeus, 1758)",209,"Squamata",NA,"Colubridae",2454989,"LC"
"1782","Steno bredanensis","Steno bredanensis (G.Cuvier, 1828)",9,"Mammalia","Cetacea","Delphinidae",2440433,"LC"
"1783","Micronycteris megalotis","Micronycteris megalotis (Gray, 1842)",55,"Mammalia","Chiroptera","Phyllostomidae",2433289,"LC"
"1784","Tyrannulus elatus","Tyrannulus elatus (Latham, 1790)",1,"Aves","Passeriformes","Tyrannidae",2483855,"LC"
"1785","Phyllopezus lutzae","Phyllopezus lutzae (Loveridge, 1941)",11,"Squamata",NA,"Phyllodactylidae",8387014,"LC"
"1786","Phyllostomus discolor","Phyllostomus discolor Wagner, 1843",61,"Mammalia","Chiroptera","Phyllostomidae",2433280,"LC"
"1787","Rhynchonycteris naso","Rhynchonycteris naso (Wied-Neuwied, 1820)",114,"Mammalia","Chiroptera","Emballonuridae",2433095,"LC"
"1788","Vanzosaura multiscutata","Vanzosaura multiscutata (Amaral, 1933)",5,"Squamata",NA,"Gymnophthalmidae",10895170,"LC"
"1789","Pseudis cardosoi","Pseudis cardosoi Kwet, 2000",83,"Amphibia","Anura","Hylidae",2428381,"LC"
"1790","Ischnocnema henselii","Ischnocnema henselii (Peters, 1870)",244,"Amphibia","Anura","Brachycephalidae",2424828,"LC"
"1791","Brachycephalus nodoterga","Brachycephalus nodoterga Miranda-Ribeiro, 1920",18,"Amphibia","Anura","Brachycephalidae",5217427,"LC"
"1792","Boana semiguttata","Boana semiguttata (Lutz, 1925)",22,"Amphibia","Anura","Hylidae",10714357,"LC"
"1793","Phalotris lemniscatus","Phalotris lemniscatus (Duméril, Bibron & Duméril, 1854)",94,"Squamata",NA,"Colubridae",2452902,"LC"
"1794","Lygophis flavifrenatus","Lygophis flavifrenatus Cope, 1862",34,"Squamata",NA,"Colubridae",2454220,"LC"
"1795","Nyctinomops laticaudatus","Nyctinomops laticaudatus (E.Geoffroy, 1805)",32,"Mammalia","Chiroptera","Molossidae",2433063,"LC"
"1796","Formicivora iheringi","Formicivora iheringi Hellmayr, 1909",48,"Aves","Passeriformes","Thamnophilidae",2490046,"LC"
"1797","Scinax constrictus","Scinax constrictus Lima, Bastos & Giaretta, 2005",2,"Amphibia","Anura","Hylidae",5217873,"LC"
"1798","Aplastodiscus weygoldti","Aplastodiscus weygoldti (Cruz & Peixoto, 1987)",19,"Amphibia","Anura","Hylidae",2427351,"LC"
"1799","Liolaemus arambarensis","Liolaemus arambarensis Verrastro, Veronese, Bujes & Martins Dias Filho, 2003",29,"Squamata",NA,"Liolaemidae",2460352,"EN"
"1800","Carollia brevicaudum","Carollia brevicaudum (Schinz, 1821)",32,"Mammalia","Chiroptera","Phyllostomidae",2433177,"LC"
"1801","Oecomys cleberi","Oecomys cleberi Locks, 1981",21,"Mammalia","Rodentia","Cricetidae",2439307,"DD"
"1802","Piranga hepatica","Piranga hepatica Swainson, 1827",3,"Aves","Passeriformes","Cardinalidae",6100782,"LC"
"1803","Kobus megaceros","Kobus megaceros (Fitzinger, 1855)",1,"Mammalia","Artiodactyla","Bovidae",5220159,"EN"
"1804","Ololygon machadoi","Ololygon machadoi (Bokermann & Sazima, 1973)",3,"Amphibia","Anura","Hylidae",10756155,"LC"
"1805","Caparaonia itaiquara","Caparaonia itaiquara Rodrigues, Cassimiro, Pavan, Curcio, Kruth Verdade & Machado Pellegrino, 2009",9,"Squamata",NA,"Gymnophthalmidae",7779885,"LC"
"1806","Juliomys ximenezi","Juliomys ximenezi Christoff, Vieira, Oliveira, Gonçalves, Valiati & Tomasi, 2016",3,"Mammalia","Rodentia","Cricetidae",9159083,"NE"
"1807","Cycloramphus semipalmatus","Cycloramphus semipalmatus (Miranda-Ribeiro, 1920)",1,"Amphibia","Anura","Cycloramphidae",2424366,"NT"
"1808","Ischnocnema erythromera","Ischnocnema erythromera (Heyer, 1984)",10,"Amphibia","Anura","Brachycephalidae",2424869,"LC"
"1809","Atractus spinalis","Atractus spinalis Passos, Texeira Jr, Recoder, De Sena, Dal Vechio, De Arruda Pinto, Mendonça, Cassimiro & Rodrigues, 2013",4,"Squamata",NA,"Colubridae",9339655,"DD"
"1810","Taeniophallus poecilopogon","Taeniophallus poecilopogon (Cope, 1863)",6,"Squamata",NA,"Colubridae",2452082,"LC"
"1811","Apostolepis ambiniger","Apostolepis ambiniger (Peters, 1869)",2,"Squamata",NA,"Colubridae",8173949,"DD"
"1812","Anilius scytale","Anilius scytale (Linnaeus, 1758)",1,"Squamata",NA,"Aniliidae",2451673,"LC"
"1813","Mesoplodon hectori","Mesoplodon hectori (Gray, 1871)",1,"Mammalia","Cetacea","Hyperoodontidae",2440394,"DD"
"1814","Arariphrynus placidoi","Arariphrynus placidoi Leal & Brito, 2006",1,"Amphibia","Anura","Leptodactylidae",8688499,"NE"
"1815","Strix virgata","Strix virgata (Cassin, 1849)",2788,"Aves","Strigiformes","Strigidae",2497440,"LC"
"1816","Chrysolampis mosquitus","Chrysolampis mosquitus (Linnaeus, 1758)",2001,"Aves","Apodiformes","Trochilidae",2476346,"LC"
"1817","Thamnophilus pelzelni","Thamnophilus pelzelni Hellmayr, 1924",4496,"Aves","Passeriformes","Thamnophilidae",6093318,"LC"
"1818","Megascops atricapilla","Megascops atricapilla (Temminck, 1822)",2756,"Aves","Strigiformes","Strigidae",2497388,"LC"
"1819","Geothlypis velata","Geothlypis velata (Vieillot, 1809)",41149,"Aves","Passeriformes","Parulidae",6100791,"NE"
"1820","Euphonia violacea","Euphonia violacea (Linnaeus, 1758)",40894,"Aves","Passeriformes","Fringillidae",2487970,"LC"
"1821","Eleoscytalopus indigoticus","Eleoscytalopus indigoticus (Wied-Neuwied, 1831)",7773,"Aves","Passeriformes","Rhinocryptidae",5789069,"LC"
"1822","Heliomaster squamosus","Heliomaster squamosus (Temminck, 1823)",3231,"Aves","Apodiformes","Trochilidae",2476993,"LC"
"1823","Progne tapera","Progne tapera (Linnaeus, 1766)",25451,"Aves","Passeriformes","Hirundinidae",2489136,"LC"
"1824","Pyrrhura cruentata","Pyrrhura cruentata (Wied-Neuwied, 1820)",1581,"Aves","Psittaciformes","Psittacidae",2479855,"VU"
"1825","Phaethon aethereus","Phaethon aethereus Linnaeus, 1758",76,"Aves","Phaethontiformes","Phaethontidae",9743996,"LC"
"1826","Emberizoides herbicola","Emberizoides herbicola (Vieillot, 1817)",7830,"Aves","Passeriformes","Thraupidae",5231162,"LC"
"1827","Picumnus cirratus","Picumnus cirratus Temminck, 1825",28062,"Aves","Piciformes","Picidae",9587550,"LC"
"1828","Terenura maculata","Terenura maculata (Wied-Neuwied, 1831)",13828,"Aves","Passeriformes","Thamnophilidae",2490012,"LC"
"1829","Butorides striata","Butorides striata (Linnaeus, 1758)",29293,"Aves","Pelecaniformes","Ardeidae",2480824,"LC"
"1830","Tigrisoma lineatum","Tigrisoma lineatum (Boddaert, 1783)",7388,"Aves","Pelecaniformes","Ardeidae",2480869,"LC"
"1831","Nyctibius griseus","Nyctibius griseus (J.F.Gmelin, 1789)",9941,"Aves","Nyctibiiformes","Nyctibiidae",2496811,"LC"
"1832","Fulica rufifrons","Fulica rufifrons Philippi & Landbeck, 1861",611,"Aves","Gruiformes","Rallidae",2474390,"LC"
"1833","Campylopterus calcirupicola","Campylopterus calcirupicola Lopes, de Vasconcelos & Gonzaga, 2017",100,"Aves","Apodiformes","Trochilidae",9570901,"VU"
"1834","Tomodon dorsatus","Tomodon dorsatus Duméril, Bibron & Duméril, 1854",512,"Squamata",NA,"Colubridae",5223554,"LC"
"1835","Thoropa miliaris","Thoropa miliaris (Spix, 1824)",939,"Amphibia","Anura","Cycloramphidae",2424402,"LC"
"1836","Hydrochoeris hydrochaeris","Hydrochoeris hydrochaeris Linnaeus, 1766",16,"Mammalia","Rodentia","Caviidae",4263032,"NE"
"1837","Leptodactylus elenae","Leptodactylus elenae Heyer, 1978",63,"Amphibia","Anura","Leptodactylidae",5217613,"LC"
"1838","Clytolaema rubricauda","Clytolaema rubricauda (Boddaert, 1783)",197,"Aves","Apodiformes","Trochilidae",2476730,"LC"
"1839","Chionomesa fimbriata","Chionomesa fimbriata (J.F.Gmelin, 1788)",467,"Aves","Apodiformes","Trochilidae",10941997,"LC"
"1840","Scinax acuminatus","Scinax acuminatus (Cope, 1862)",30,"Amphibia","Anura","Hylidae",5217913,"LC"
"1841","Myonycteris torquata","Myonycteris torquata (Dobson, 1878)",1,"Mammalia","Chiroptera","Pteropodidae",2432942,"LC"
"1842","Sigmodon hispidus","Sigmodon hispidus Say & Ord, 1825",1,"Mammalia","Rodentia","Cricetidae",2438147,"LC"
"1843","Melanophryniscus vilavelhensis","Melanophryniscus vilavelhensis Steinbach-Padilha, 2008",2,"Amphibia","Anura","Bufonidae",2422157,"EN"
"1844","Campephilus rubricollis","Campephilus rubricollis (Boddaert, 1783)",6,"Aves","Piciformes","Picidae",2478573,"LC"
"1845","Apus apus","Apus apus (Linnaeus, 1758)",3,"Aves","Apodiformes","Apodidae",5228676,"LC"
"1846","Ololygon jureia","Ololygon jureia (Pombal & Gordo, 1991)",8,"Amphibia","Anura","Hylidae",10797747,"DD"
"1847","Anoura geoffroyi","Anoura geoffroyi Gray, 1838",120,"Mammalia","Chiroptera","Phyllostomidae",5963041,"LC"
"1848","Ischnocnema randorum","Ischnocnema randorum (Heyer, 1985)",13,"Amphibia","Anura","Brachycephalidae",2424840,"LC"
"1849","Fritziana ulei","Fritziana ulei (Miranda-Ribeiro, 1926)",3,"Amphibia","Anura","Hemiphractidae",10679821,"LC"
"1850","Sphaenorhynchus surdus","Sphaenorhynchus surdus (Cochran, 1953)",44,"Amphibia","Anura","Hylidae",2428011,"LC"
"1851","Phyllomedusa burmeisteri","Phyllomedusa burmeisteri Boulenger, 1882",310,"Amphibia","Anura","Phyllomedusidae",2427967,"LC"
"1852","Pithecopus ayeaye","Pithecopus ayeaye Lutz, 1966",17,"Amphibia","Anura","Phyllomedusidae",10880225,"LC"
"1853","Myrmotherula unicolor","Myrmotherula unicolor (Ménétriés, 1835)",137,"Aves","Passeriformes","Thamnophilidae",2490194,"LC"
"1854","Dipsas albifrons","Dipsas albifrons (Sauvage, 1884)",27,"Squamata",NA,"Colubridae",5223476,"LC"
"1855","Ololygon luizotavioi","Ololygon luizotavioi Caramaschi & Kisteumacher, 1989",20,"Amphibia","Anura","Hylidae",10689215,"LC"
"1856","Micrurus brasiliensis","Micrurus brasiliensis Roze, 1967",6,"Squamata",NA,"Elapidae",7811691,"LC"
"1857","Bos taurus","Bos taurus Linnaeus, 1758",21,"Mammalia","Artiodactyla","Bovidae",2441022,"NE"
"1858","Ololygon muriciensis","Ololygon muriciensis (Cruz, Nunes & Lima, 2011)",14,"Amphibia","Anura","Hylidae",10710908,"CR"
"1859","Rupirana cardosoi","Rupirana cardosoi Heyer, 1999",7,"Amphibia","Anura","Leptodactylidae",2424400,"VU"
"1860","Monodelphis americana","Monodelphis americana (Müller, 1776)",87,"Mammalia","Didelphimorphia","Didelphidae",2439970,"LC"
"1861","Sibon nebulatus","Sibon nebulatus (Linnaeus, 1758)",7,"Squamata",NA,"Colubridae",2458237,"LC"
"1862","Lepidodactylus lugubris","Lepidodactylus lugubris (Duméril & Bibron, 1836)",8,"Squamata",NA,"Gekkonidae",9164170,"LC"
"1863","Bibimys labiosus","Bibimys labiosus (Winge, 1887)",7,"Mammalia","Rodentia","Cricetidae",2439029,"LC"
"1864","Ischnocnema oea","Ischnocnema oea (Heyer, 1984)",77,"Amphibia","Anura","Brachycephalidae",2424856,"LC"
"1865","Phasmahyla exilis","Phasmahyla exilis (Cruz, 1980)",25,"Amphibia","Anura","Phyllomedusidae",2428359,"LC"
"1866","Colobosauroides cearensis","Colobosauroides cearensis Cunha, Lima-Verde & Lima, 1991",1,"Squamata",NA,"Gymnophthalmidae",2450607,"LC"
"1867","Corallus cropanii","Corallus cropanii (Hoge, 1953)",2,"Squamata",NA,"Boidae",2464940,"EN"
"1868","Dendropsophus microcephalus","Dendropsophus microcephalus (Cope, 1886)",2,"Amphibia","Anura","Hylidae",2428504,"LC"
"1869","Ololygon trapicheiroi","Ololygon trapicheiroi (A.Lutz & B.Lutz, 1954)",1,"Amphibia","Anura","Hylidae",10877559,"NT"
"1870","Setophaga adelaidae","Setophaga adelaidae (S.F.Baird, 1865)",1,"Aves","Passeriformes","Parulidae",6092723,"LC"
"1871","Pterodroma incerta","Pterodroma incerta (Schlegel, 1863)",11,"Aves","Procellariiformes","Procellariidae",2481448,"EN"
"1872","Hemidactylus garnotii","Hemidactylus garnotii Duméril & Bibron, 1836",1,"Squamata",NA,"Gekkonidae",9066541,"LC"
"1873","Phytotoma rutila","Phytotoma rutila Vieillot, 1818",2,"Aves","Passeriformes","Cotingidae",2486489,"LC"
"1874","Melanophryniscus fulvoguttatus","Melanophryniscus fulvoguttatus (Mertens, 1937)",1,"Amphibia","Anura","Bufonidae",2422159,"LC"
"1875","Taubatherium paulacoutoi","Taubatherium paulacoutoi Soria & Alvarenga, 1989",1,"Mammalia",NA,"Leontiniidae",8528029,"NE"
"1876","Ololygon centralis","Ololygon centralis (Pombal & Bastos, 1996)",1,"Amphibia","Anura","Hylidae",10750129,"LC"
"1877","Marmosopsis juradoi","Marmosopsis juradoi Paula Couto, 1962",1,"Mammalia","Didelphimorphia","Didelphidae",8508883,"NE"
"1878","Chloroceryle aenea","Chloroceryle aenea (Pallas, 1764)",282,"Aves","Coraciiformes","Alcedinidae",2475483,"LC"
"1879","Automolus lammi","Automolus lammi J.T.Zimmer, 1947",373,"Aves","Passeriformes","Furnariidae",6086929,"EN"
"1880","Empidonomus aurantioatrocristatus","Empidonomus aurantioatrocristatus (Orbigny & Lafresnaye, 1837)",657,"Aves","Passeriformes","Tyrannidae",2484086,"LC"
"1881","Tityra inquisitor","Tityra inquisitor (Lichtenstein, 1823)",5345,"Aves","Passeriformes","Cotingidae",2486476,"LC"
"1882","Myiopagis viridicata","Myiopagis viridicata (Vieillot, 1817)",5380,"Aves","Passeriformes","Tyrannidae",2482947,"LC"
"1883","Tangara cyanocephala","Tangara cyanocephala (P.L.S.Müller, 1776)",21231,"Aves","Passeriformes","Thraupidae",2488097,"LC"
"1884","Cranioleuca pallida","Cranioleuca pallida (Wied-Neuwied, 1831)",24833,"Aves","Passeriformes","Furnariidae",2485325,"LC"
"1885","Aramides cajanea","Aramides cajanea (Statius Muller, 1776)",11995,"Aves","Gruiformes","Rallidae",2474659,"LC"
"1886","Nyctipolus hirundinaceus","Nyctipolus hirundinaceus (von Spix, 1825)",304,"Aves","Caprimulgiformes","Caprimulgidae",8217823,"LC"
"1887","Tachycineta leucorrhoa","Tachycineta leucorrhoa (Vieillot, 1817)",16227,"Aves","Passeriformes","Hirundinidae",5230761,"LC"
"1888","Phacellodomus rufifrons","Phacellodomus rufifrons (Wied-Neuwied, 1821)",10436,"Aves","Passeriformes","Furnariidae",2485126,"LC"
"1889","Anthus correndera","Anthus correndera Vieillot, 1818",898,"Aves","Passeriformes","Motacillidae",9286490,"LC"
"1890","Cyanocorax caeruleus","Cyanocorax caeruleus (Vieillot, 1818)",10886,"Aves","Passeriformes","Corvidae",2482560,"NT"
"1891","Nyctiprogne vielliardi","Nyctiprogne vielliardi (Lencioni-Neto, 1994)",141,"Aves","Caprimulgiformes","Caprimulgidae",2496816,"LC"
"1892","Fregata magnificens","Fregata magnificens Mathews, 1914",25508,"Aves","Suliformes","Fregatidae",2480189,"LC"
"1893","Tityra cayana","Tityra cayana (Linnaeus, 1766)",7183,"Aves","Passeriformes","Cotingidae",2486483,"LC"
"1894","Progne chalybea","Progne chalybea (Gmelin, 1789)",43519,"Aves","Passeriformes","Hirundinidae",2489133,"LC"
"1895","Podilymbus podiceps","Podilymbus podiceps (Linnaeus, 1758)",8739,"Aves","Podicipediformes","Podicipedidae",2482077,"LC"
"1896","Trichothraupis melanops","Trichothraupis melanops (Vieillot, 1818)",38443,"Aves","Passeriformes","Thraupidae",2488778,"LC"
"1897","Piranga flava","Piranga flava (Vieillot, 1822)",2839,"Aves","Passeriformes","Cardinalidae",2488498,"LC"
"1898","Limosa haemastica","Limosa haemastica (Linnaeus, 1758)",532,"Aves","Charadriiformes","Scolopacidae",2481680,"LC"
"1899","Laniisoma elegans","Laniisoma elegans (Thunberg, 1823)",487,"Aves","Passeriformes","Cotingidae",2486411,"NT"
"1900","Onychoprion fuscatus","Onychoprion fuscatus (Linnaeus, 1766)",59,"Aves","Charadriiformes","Laridae",5789284,"LC"
"1901","Phacellodomus sibilatrix","Phacellodomus sibilatrix P.L.Sclater, 1879",1,"Aves","Passeriformes","Furnariidae",2485119,"LC"
"1902","Aplastodiscus musicus","Aplastodiscus musicus (Lutz, 1949)",2,"Amphibia","Anura","Hylidae",2427359,"CR"
"1903","Elachistocleis cesarii","Elachistocleis cesarii (Miranda-Ribeiro, 1920)",64,"Amphibia","Anura","Microhylidae",7570926,"LC"
"1904","Pseudopaludicola mineira","Pseudopaludicola mineira Lobo, 1994",16,"Amphibia","Anura","Leptodactylidae",2423518,"LC"
"1905","Eleutherodactylus bilineatus","Eleutherodactylus bilineatus Bokermann, 1975",4,"Amphibia","Anura","Eleutherodactylidae",2424861,"LC"
"1906","Thoropa petropolitana","Thoropa petropolitana (Wandolleck, 1907)",112,"Amphibia","Anura","Cycloramphidae",2424403,"CR"
"1907","Lithobates catesbeianus","Lithobates catesbeianus (Shaw, 1802)",135,"Amphibia","Anura","Ranidae",2427091,"LC"
"1908","Euparkerella cochranae","Euparkerella cochranae Izecksohn, 1988",20,"Amphibia","Anura","Craugastoridae",2425932,"LC"
"1909","Eira barbara","Eira barbara (Linnaeus, 1758)",340,"Mammalia","Carnivora","Mustelidae",2433716,"LC"
"1910","Hylodes amnicola","Hylodes amnicola Pombal, Feio & Haddad, 2002",4,"Amphibia","Anura","Hylodidae",5218103,"LC"
"1911","Micrurus ibiboboca","Micrurus ibiboboca (Merrem, 1820)",68,"Squamata",NA,"Elapidae",5226842,"DD"
"1912","Dasyprocta iacki","Dasyprocta iacki Feijó & Langguth, 2013",44,"Mammalia","Rodentia","Dasyproctidae",8912893,"DD"
"1913","Philodryas nattereri","Philodryas nattereri (Steindachner, 1870)",140,"Squamata",NA,"Colubridae",2453479,"LC"
"1914","Hydromedusa tectifera","Hydromedusa tectifera Cope, 1870",73,"Testudines",NA,"Chelidae",2442139,"NE"
"1915","Boana poaju","Boana poaju (Garcia, Peixoto & Haddad, 2008)",11,"Amphibia","Anura","Hylidae",10843934,"LC"
"1916","Leposternon microcephalum","Leposternon microcephalum Wagler, 1824",346,"Squamata",NA,"Amphisbaenidae",2473032,"LC"
"1917","Pseudoboa nigra","Pseudoboa nigra (Duméril, Bibron & Duméril, 1854)",124,"Squamata",NA,"Colubridae",5223056,"LC"
"1918","Boana exastis","Boana exastis (Caramaschi & Rodrigues, 2003)",10,"Amphibia","Anura","Hylidae",10713469,"LC"
"1919","Gastrotheca megacephala","Gastrotheca megacephala Izecksohn, Carvalho-e-Silva & Peixoto, 2009",16,"Amphibia","Anura","Hemiphractidae",10673819,"LC"
"1920","Melanophryniscus klappenbachi","Melanophryniscus klappenbachi Prigioni & Langone, 2000",1,"Amphibia","Anura","Bufonidae",2422151,"LC"
"1921","Chthonerpeton indistinctum","Chthonerpeton indistinctum (Reinhardt & Lütken, 1862)",145,"Amphibia","Gymnophiona","Typhlonectidae",2430937,"LC"
"1922","Corvus brachyrhynchos","Corvus brachyrhynchos C.L.Brehm, 1822",1,"Aves","Passeriformes","Corvidae",2482507,"LC"
"1923","Ischnocnema surda","Ischnocnema surda Canedo, Pimenta, Leite & Caramaschi, 2010",1,"Amphibia","Anura","Brachycephalidae",10722582,"LC"
"1924","Micrablepharus atticolus","Micrablepharus atticolus Rodrigues, 1996",13,"Squamata",NA,"Gymnophthalmidae",5222397,"LC"
"1925","Stenella frontalis","Stenella frontalis (G.Cuvier, 1829)",5,"Mammalia","Cetacea","Delphinidae",5220045,"LC"
"1926","Mabuya mabouya","Mabuya mabouya (Bonnaterre, 1789)",7,"Squamata",NA,"Scincidae",5960489,"CR"
"1927","Paratelmatobius lutzii","Paratelmatobius lutzii Lutz & Carvalho, 1958",23,"Amphibia","Anura","Leptodactylidae",2426187,"CR"
"1928","Trachycephalus venulosus","Trachycephalus venulosus (Laurenti, 1768)",56,"Amphibia","Anura","Hylidae",5217960,"LC"
"1929","Porzana albicollis","Porzana albicollis (Vieillot, 1819)",36,"Aves","Gruiformes","Rallidae",2474616,"LC"
"1930","Turdus hauxwelli","Turdus hauxwelli Lawrence, 1869",21,"Aves","Passeriformes","Turdidae",2490743,"LC"
"1931","Dendrophryniscus carvalhoi","Dendrophryniscus carvalhoi Izecksohn, 1994",1,"Amphibia","Anura","Bufonidae",2422261,"EN"
"1932","Thylamys pusillus","Thylamys pusillus (Desmarest, 1804)",1,"Mammalia","Didelphimorphia","Didelphidae",2439914,"LC"
"1933","Pseudopaludicola canga","Pseudopaludicola canga Giaretta & Kokubum, 2003",1,"Amphibia","Anura","Leptodactylidae",2423520,"LC"
"1934","Sarcosuchus hartti","Sarcosuchus hartti (Marsh, 1869) Hartti",2,"Crocodylia",NA,"Crocodylidae",8552629,"NE"
"1935","Corallus priscus","Corallus priscus Rage, 2001",1,"Squamata",NA,"Boidae",4968118,"NE"
"1936","Corvus macrorhynchos","Corvus macrorhynchos Wagler, 1827",1,"Aves","Passeriformes","Corvidae",2482487,"LC"
"1937","Myrmotherula snowi","Myrmotherula snowi Teixeira & Gonzaga, 1985",151,"Aves","Passeriformes","Thamnophilidae",5788612,"CR"
"1938","Myrmorchilus strigilatus","Myrmorchilus strigilatus (Wied-Neuwied, 1831)",1138,"Aves","Passeriformes","Thamnophilidae",2490026,"LC"
"1939","Thalasseus acuflavidus","Thalasseus acuflavidus (S.Cabot, 1847)",18,"Aves","Charadriiformes","Laridae",6065838,"NE"
"1940","Picumnus nebulosus","Picumnus nebulosus Sundevall, 1866",1317,"Aves","Piciformes","Picidae",5228755,"NT"
"1941","Sicalis citrina","Sicalis citrina Pelzeln, 1870",1418,"Aves","Passeriformes","Thraupidae",2491841,"LC"
"1942","Serpophaga subcristata","Serpophaga subcristata (Vieillot, 1817)",21428,"Aves","Passeriformes","Tyrannidae",2483966,"LC"
"1943","Laterallus exilis","Laterallus exilis (Temminck, 1831)",1557,"Aves","Gruiformes","Rallidae",2474589,"LC"
"1944","Chlorestes cyanus","Chlorestes cyanus (Vieillot, 1818)",224,"Aves","Apodiformes","Trochilidae",10933139,"LC"
"1945","Vireo gracilirostris","Vireo gracilirostris Sharpe, 1890",15,"Aves","Passeriformes","Vireonidae",2487451,"VU"
"1946","Oxybelis aeneus","Oxybelis aeneus (Wagler, 1824)",112,"Squamata",NA,"Colubridae",2453632,"LC"
"1947","Enyalius bilineatus","Enyalius bilineatus (Duméril & Bibron, 1837)",292,"Squamata",NA,"Leiosauridae",5226338,"LC"
"1948","Phyllomyias reiseri","Phyllomyias reiseri Hellmayr, 1905",144,"Aves","Passeriformes","Tyrannidae",2484062,"LC"
"1949","Sphaenorhynchus palustris","Sphaenorhynchus palustris Bokermann, 1966",10,"Amphibia","Anura","Hylidae",2428021,"LC"
"1950","Cyanocorax cyanomelas","Cyanocorax cyanomelas (Vieillot, 1818)",1199,"Aves","Passeriformes","Corvidae",2482572,"LC"
"1951","Frostius erythrophthalmus","Frostius erythrophthalmus Pimenta & Caramaschi, 2007",1,"Amphibia","Anura","Bufonidae",2422960,"LC"
"1952","Sooretamys angouya","Sooretamys angouya (Fischer, 1814)",58,"Mammalia","Rodentia","Cricetidae",5786884,"LC"
"1953","Chamaeza campanisona","Chamaeza campanisona (Lichtenstein, 1823)",11852,"Aves","Passeriformes","Formicariidae",2490570,"LC"
"1954","Jacamaralcyon tridactyla","Jacamaralcyon tridactyla (Vieillot, 1817)",1019,"Aves","Piciformes","Galbulidae",2475038,"NT"
"1955","Laterallus leucopyrrhus","Laterallus leucopyrrhus (Vieillot, 1819)",2370,"Aves","Gruiformes","Rallidae",2474598,"LC"
"1956","Cyanocorax cristatellus","Cyanocorax cristatellus (Temminck, 1823)",17249,"Aves","Passeriformes","Corvidae",2482561,"LC"
"1957","Conepatus chinga","Conepatus chinga (Molina, 1782)",104,"Mammalia","Carnivora","Mephitidae",2434870,"LC"
"1958","Dendropsophus seniculus","Dendropsophus seniculus (Cope, 1868)",123,"Amphibia","Anura","Hylidae",2428406,"LC"
"1959","Cyanoloxia glaucocaerulea","Cyanoloxia glaucocaerulea (d'Orbigny & Lafresnaye, 1837)",977,"Aves","Passeriformes","Cardinalidae",2490382,"LC"
"1960","Selenidera maculirostris","Selenidera maculirostris (M.H.K.Lichtenstein, 1823)",8200,"Aves","Piciformes","Ramphastidae",2478760,"LC"
"1961","Callicebus personatus","Callicebus personatus (É.Geoffroy Saint-Hilaire, 1812)",136,"Mammalia","Primates","Pitheciidae",2436398,"VU"
"1962","Lasiurus borealis","Lasiurus borealis (Müller, 1776)",16,"Mammalia","Chiroptera","Vespertilionidae",5218543,"LC"
"1963","Pteroglossus inscriptus","Pteroglossus inscriptus Swainson, 1822",303,"Aves","Piciformes","Ramphastidae",2478814,"LC"
"1964","Sporophila albogularis","Sporophila albogularis (Spix, 1825)",1165,"Aves","Passeriformes","Thraupidae",2491366,"LC"
"1965","Xipholena atropurpurea","Xipholena atropurpurea (Wied-Neuwied, 1820)",1024,"Aves","Passeriformes","Cotingidae",2486347,"VU"
"1966","Aplastodiscus eugenioi","Aplastodiscus eugenioi (Carvalho-e-Silva & Carvalho-e-Silva, 2005)",2,"Amphibia","Anura","Hylidae",2427358,"NT"
"1967","Amazona amazonica","Amazona amazonica (Linnaeus, 1766)",5111,"Aves","Psittaciformes","Psittacidae",2479666,"LC"
"1968","Puffinus griseus","Puffinus griseus (Gmelin, 1789)",1,"Aves","Procellariiformes","Procellariidae",5739277,"NT"
"1969","Schiffornis turdina","Schiffornis turdina (Wied-Neuwied, 1831)",2114,"Aves","Passeriformes","Cotingidae",2486447,"LC"
"1970","Anser anser","Anser anser (Linnaeus, 1758)",482,"Aves","Anseriformes","Anatidae",2498036,"LC"
"1971","Porphyrio flavirostris","Porphyrio flavirostris (Gmelin, 1789)",82,"Aves","Gruiformes","Rallidae",5228154,"LC"
"1972","Alectrurus risora","Alectrurus risora (Vieillot, 1824)",75,"Aves","Passeriformes","Tyrannidae",2483239,"VU"
"1973","Melopsittacus undulatus","Melopsittacus undulatus (Shaw, 1805)",28,"Aves","Psittaciformes","Psittacidae",2479798,"LC"
"1974","Contopus virens","Contopus virens (Linnaeus, 1766)",2,"Aves","Passeriformes","Tyrannidae",5229734,"LC"
"1975","Tropidurus catalanensis","Tropidurus catalanensis Gudynas & Skuk, 1983",1122,"Squamata",NA,"Tropiduridae",5224877,"LC"
