"species","accepted_gbif","synonyms_gbif","class","order","family","source","synonym_faunabr"
"Conothraupis mesoleuca","Conothraupis mesoleuca","Rhynchothraupis mesoleuca","Aves","Passeriformes","Thraupidae","faunabr",NA
"Contopus virens","Contopus virens","Muscicapa virens","Aves","Passeriformes","Tyrannidae","faunabr",NA
"Corallus cropani","Corallus cropanii","Xenoboa cropanii","Reptilia","Squamata","Boidae","faunabr",NA
"Coronelaps lepidus","Coronelaps lepidus","Elapomorphus lepidus","Reptilia","Squamata","Dipsadidae","faunabr",NA
"Coryphospingus pileatus","Coryphospingus pileatus","Fringilla pileata","Aves","Passeriformes","Thraupidae","faunabr",NA
"Corythopis torquatus","Corythopis torquatus",NA,"Aves","Passeriformes","Rhynchocyclidae","faunabr",NA
"Cotinga maculata","Cotinga maculata",NA,"Aves","Passeriformes","Cotingidae","faunabr",NA
"Cranioleuca semicinerea","Cranioleuca semicinerea",NA,"Aves","Passeriformes","Furnariidae","faunabr",NA
"Crax blumenbachii","Crax blumenbachii",NA,"Aves","Galliformes","Cracidae","faunabr",NA
"Cryptonanus agricolai","Gracilinanus agricolai","Marmosa agricolai","Mammalia","Didelphimorphia","Didelphidae","faunabr",NA
"Cryptonanus chacoensis","Cryptonanus chacoensis","Marmosa agilis","Mammalia","Didelphimorphia","Didelphidae","faunabr",NA
"Cryptopezus nattereri","Hylopezus nattereri",NA,"Aves","Passeriformes","Grallariidae","faunabr",NA
"Crypturellus cinereus","Crypturellus cinereus","Tetrao cinereus","Aves","Tinamiformes","Tinamidae","faunabr",NA
"Crypturellus soui","Crypturellus soui","Tinamus soui","Aves","Tinamiformes","Tinamidae","faunabr",NA
"Crypturellus strigulosus","Crypturellus strigulosus",NA,"Aves","Tinamiformes","Tinamidae","faunabr",NA
"Crypturellus variegatus","Crypturellus variegatus","Tetrao variegatus","Aves","Tinamiformes","Tinamidae","faunabr",NA
"Crypturellus zabele","Crypturellus noctivagus zabele",NA,"Aves","Tinamiformes","Tinamidae","faunabr",NA
"Ctenomys flamarioni","Ctenomys flamarioni",NA,"Mammalia","Rodentia","Ctenomyidae","faunabr",NA
"Ctenomys ibicuiensis","Ctenomys ibicuiensis",NA,"Mammalia","Rodentia","Ctenomyidae","faunabr",NA
"Ctenomys lami","Ctenomys lami",NA,"Mammalia","Rodentia","Ctenomyidae","faunabr",NA
"Ctenomys minutus","Ctenomys minutus",NA,"Mammalia","Rodentia","Ctenomyidae","faunabr",NA
"Ctenomys torquatus","Ctenomys torquatus",NA,"Mammalia","Rodentia","Ctenomyidae","faunabr",NA
"Cyanerpes caeruleus","Cyanerpes caeruleus","Certhia caerulea","Aves","Passeriformes","Thraupidae","faunabr",NA
