"","species","subspecies","scientificName","acceptedName","kingdom","phylum","class","order","family","genus","lifeForm","habitat","states","countryCode","origin","taxonomicStatus","nomenclaturalStatus","vernacularName","taxonRank","id"
"47306","Fritziana ohausi",NA,"Fritziana ohausi (Wandolleck, 1907)",NA,"Animalia","Chordata","Amphibia","Anura","Hemiphractidae","Fritziana",NA,NA,"ES;RJ;SP","BR","native","accepted",NA,NA,"species",58872
"47338","Helicops gomesi",NA,"Helicops gomesi Amaral, 1922",NA,"Animalia","Chordata","Reptilia","Squamata","Dipsadidae","Helicops","free_living_individual","freshwater;terrestrial","DF;GO;MG;MS;PR;SP","BR","native","accepted",NA,"Cobra-d'agua","species",58910
"47357","Adenomera cotuba",NA,"Adenomera cotuba Carvalho & Giaretta, 2013",NA,"Animalia","Chordata","Amphibia","Anura","Leptodactylidae","Adenomera","free_living_individual","terrestrial","BA;GO;MA;TO","BR","native","accepted",NA,NA,"species",58930
"47414","Euryoryzomys nitidus",NA,"Euryoryzomys nitidus (Thomas, 1884)",NA,"Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Euryoryzomys","free_living_individual","terrestrial","AC;MS;MT","BO;BR;PE","native","accepted",NA,"Elegant Euryoryzomys, Rato-laranja","species",59009
"47430","Amphisbaena supernumeraria",NA,"Amphisbaena supernumeraria Mott, Rodrigues & Santos, 2009",NA,"Animalia","Chordata","Reptilia","Squamata","Amphisbaenidae","Amphisbaena","free_living_individual","fossorial","PE","BR","native","accepted",NA,NA,"species",59028
"47559","Thyroptera wynneae",NA,"Thyroptera wynneae Velazco, Gregorin, Voss & Simmons, 2014",NA,"Animalia","Chordata","Mammalia","Chiroptera","Thyropteridae","Thyroptera","free_living_individual","terrestrial","ES;MG","BR;PE","native","accepted",NA,NA,"species",59183
"47928","Oxymycterus delator",NA,"Oxymycterus delator Thomas, 1903",NA,"Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Oxymycterus","free_living_individual","terrestrial","BA;CE;GO;MG;MS;MT;PI;PR;SP;TO","BR;PY","native","accepted",NA,"Spy Hocicudo, Rato-da-vereda, Hocicudo-Purpureo de Paraguay","species",59649
"48054","Phalotris lativittatus",NA,"Phalotris lativittatus Ferrarezzi, 1994",NA,"Animalia","Chordata","Reptilia","Squamata","Dipsadidae","Phalotris",NA,NA,"SC;SP","BR","native","accepted",NA,NA,"species",59803
"48079","Apostolepis nelsonjorgei",NA,"Apostolepis nelsonjorgei Lema & Renner, 2004",NA,"Animalia","Chordata","Reptilia","Squamata","Dipsadidae","Apostolepis","free_living_individual","fossorial","GO;TO","BR","native","accepted",NA,NA,"species",59834
"48235","Leposternon maximus",NA,"Leposternon maximus Ribeiro, Nogueira, Cintra, Silva Junior & Zaher, 2012",NA,"Animalia","Chordata","Reptilia","Squamata","Amphisbaenidae","Leposternon","free_living_individual","fossorial","GO;MG","BR","native","accepted",NA,"Cobra-de-duas-cabecas; Cobra-cega","species",60034
