"species","class","order","family","source"
"Platalea leucorodia","Aves","Pelecaniformes","Threskiornithidae","faunabr"
"Platyrinchus mystaceus","Aves","Passeriformes","Platyrinchidae","faunabr"
"Platyrinchus saturatus","Aves","Passeriformes","Platyrinchidae","faunabr"
"Pluvialis squatarola","Aves","Charadriiformes","Charadriidae","faunabr"
"Podager nacunda","Aves","Caprimulgiformes","Caprimulgidae","faunabr"
"Podicephorus major","Aves","Podicipediformes","Podicipedidae","faunabr"
"Podiceps occipitalis","Aves","Podicipediformes","Podicipedidae","faunabr"
"Podilymbus podiceps","Aves","Podicipediformes","Podicipedidae","faunabr"
"Poecilotriccus fumifrons","Aves","Passeriformes","Rhynchocyclidae","faunabr"
"Poecilotriccus latirostris","Aves","Passeriformes","Rhynchocyclidae","faunabr"
"Poecilotriccus plumbeiceps","Aves","Passeriformes","Rhynchocyclidae","faunabr"
"Poecilotriccus sylvia","Aves","Passeriformes","Rhynchocyclidae","faunabr"
"Polioptila dumicola","Aves","Passeriformes","Polioptilidae","faunabr"
"Polystictus pectoralis","Aves","Passeriformes","Tyrannidae","faunabr"
"Polytmus guainumbi","Aves","Apodiformes","Trochilidae","faunabr"
"Porphyriops melanops","Aves","Gruiformes","Rallidae","faunabr"
"Procnias averano","Aves","Passeriformes","Cotingidae","faunabr"
"Proechimys roberti","Mammalia","Rodentia","Echimyidae","faunabr"
"Progne chalybea","Aves","Passeriformes","Hirundinidae","faunabr"
"Progne tapera","Aves","Passeriformes","Hirundinidae","faunabr"
"Psarocolius decumanus","Aves","Passeriformes","Icteridae","faunabr"
"Pseudastur albicollis","Aves","Accipitriformes","Accipitridae","faunabr"
"Pseudoeryx plicatilis","Reptilia","Squamata","Dipsadidae","faunabr"
"Pseudopipra pipra","Aves","Passeriformes","Pipridae","faunabr"
"Pteroglossus aracari","Aves","Piciformes","Ramphastidae","faunabr"
"Pteroglossus bitorquatus","Aves","Piciformes","Ramphastidae","faunabr"
"Pteroglossus castanotis","Aves","Piciformes","Ramphastidae","faunabr"
"Pteroglossus inscriptus","Aves","Piciformes","Ramphastidae","faunabr"
"Puffinus lherminieri","Aves","Procellariiformes","Procellariidae","faunabr"
"Pulsatrix perspicillata","Aves","Strigiformes","Strigidae","faunabr"
